#MPRN: 10005282085
Date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2024-05-12,0.027,0.315,0.316,0.4575,4.065,4.103,4.135,4.135,4.1405,4.1345,3.4355,2.68,0.0405,0.0075,0.0265,0.044,0,0,0,0.043,0.063,0.0495,0.012,0.011,0.074,0.054,0,0,0.053,0.0245,0.037,0.0005,0.0015,0.0015,0.0245,0.044,0.04,0.222,0.1305,0.009,0.0305,0.0465,0.0445,0.047,0.044,0.0475,0.046,0.04
2024-05-13,0.2295,0.274,0.2755,0.4035,4.289,4.3795,4.1105,4.0055,4.562,3.9745,3.31,2.361,0.0345,0.0065,0.013,0.012,0,0.0005,0.0595,0.044,0.0495,0.0525,0.05,0.0425,0.0305,0.01,0.008,0.0125,0.0185,0.053,0.051,0.0475,0.0555,0.048,0.0585,0.093,0.144,0.0455,0.0505,0.053,0.01,0.0115,0.772,1.0225,0.973,0.8125,0.919,0.748
2024-05-14,0.45,0.377,0.335,0.4355,4.0175,4.044,4.0195,4.0375,4.0645,4.0635,3.564,2.4705,0.068,0.0445,0.002,0,0,0.0005,0.002,0.0145,0.015,0.026,0.0205,0.029,0.047,0.0215,0.0405,0.0355,0.0145,0,0.001,0.0005,0.006,0.0105,0.077,0.1645,0.0225,0.0105,0.0095,0.0225,0.0065,0.009,0.0085,0.0445,0.0465,0.0475,0.046,0.041
2024-05-15,0,0.123,0.3635,0.4575,4.086,4.519,4.306,4.679,4.157,4.1795,1.7885,0.236,0.007,0.0065,0,0.0625,0.003,0,0.0445,0.0455,0.0495,0.05,0.0445,0.0355,0.052,0.068,0.0355,0.042,0.0015,0.0155,0.0005,0.016,0.0025,0,0,0,0,0.035,0.019,0.08,0.0445,0.0465,0.056,0.049,0.045,0.0415,0.0465,0.049
2024-05-16,0,0.3615,0.898,0.6515,3.871,3.9225,3.9645,3.955,3.9415,3.947,3.114,2.291,0.05,0.007,0,0,0,0,0,0.0135,0.0385,0.049,0.0325,0.0135,0.0005,0,0,0.0065,0,0,0.001,0.0315,0.0695,0.0645,0.061,0.021,0.1615,0.1665,0.008,0.008,0.007,0.0065,0.0065,0.006,0.709,0.1595,0.125,0.8025
2024-05-17,1.404,0.923,1.2375,0.768,4.1515,4.3535,4.1795,4.4225,4.0785,3.9865,3.332,2.3135,0.046,0.054,0.032,0.0155,0,0.06,0.1625,0.1505,0.058,0.045,0.057,0.053,0.044,0.0575,0.03,0.01,0.0115,0.0095,0.0105,0.0105,0.0045,0,0,0,0.0285,0.142,0.082,0.044,0.048,0.047,0.0495,0.054,0.043,0.055,0.05,0.0435
2024-05-18,0,0.11,0.346,0.453,1.672,1.689,1.706,1.711,1.71,1.739,0.9275,0.215,0.012,0.0095,0,0,0,0,0.092,0.0885,0.162,0.13,0.075,0.0665,0.2925,0.051,0.0485,0.053,0.0485,0.051,0.0545,0.0565,0.0565,0.068,0.0285,0.0235,0.023,0.0215,0.013,0.019,0.0425,0.0545,0.047,0.0525,0.0555,0.0515,0.051,0.048
2024-05-19,0.0635,0.4855,0.447,0.5925,4.5815,4.5575,4.3875,4.681,4.278,4.259,3.3785,2.542,0.0645,0.01,0,0,0,0,0,0.0525,0.0155,0.0125,0.0035,0,0,0,0,0,0,0,0.041,0.0365,0,0,0,0,0.044,0.1955,0.1,0.048,0.0485,0.046,0.012,0.01,0.012,0.013,0.01,0.0095
2024-05-20,0,0.2605,0.4075,0.5535,1.8305,2.01,2.2285,1.7795,1.7245,1.7285,0.945,0.204,0.011,0.012,0,0.006,0,0,0,0,0,0,0,0,0,0.018,0.015,0.015,0,0.019,0.009,0,0.0105,0,0.076,0.03,0.001,0.0105,0.048,0.049,0.0465,0.047,0.0475,0.0355,0.01,0.073,0.0555,0.044
2024-05-21,0,0,0.306,0.538,3.946,4.0315,3.9785,3.9645,3.966,3.9685,3.27,2.2775,0.041,0.0095,0,0,0,0.017,0.0305,0.026,0.0035,0.001,0,0.0125,0.034,0.0215,0.019,0.0685,0.0295,0.017,0.009,0,0,0,0,0,0.2055,0.074,0.0125,0.0135,0.0285,0.0505,0.0555,0.0515,0.056,0.0485,0.0495,0.0455
